idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
144,13.724,13.724508608998804,1.6240748340005666,ok,0.06192506399929698,0.01977374863291297,0.02720386500004679,80,344,True,length
145,13.774,13.774483454999427,1.621617263999724,ok,0.053534775999651174,0.019848846721518536,0.02755047100072261,80,347,True,length
146,13.842,13.843822120999903,1.620532128999912,ok,0.06017968199921597,0.01975099689873706,0.027220322999710334,80,381,True,length
147,13.892,13.892495087999123,1.6140465779990336,ok,0.058525388998532435,0.019689826962026535,0.027328198999384767,80,346,True,length
148,13.909,13.909407212999213,1.6213804319995688,ok,0.05731527199895936,0.019797981898729538,0.02720409399989876,80,504,True,length
149,14.109,14.110078749999957,1.6422123449992796,ok,0.0557957949986303,0.020080872962030816,0.027204902000448783,80,432,True,length
150,14.233,14.235202836998724,1.6602500429999054,ok,0.06532945699837,0.0201885006075988,0.028244215000086115,80,298,True,length
151,14.249,14.25021293699865,1.6675433680011338,ok,0.06837951600027736,0.020242268379753355,0.02800079999906302,80,358,True,length
152,14.264,14.265484966999793,1.651237977999699,ok,0.05297316900032456,0.02023090231645417,0.02800332000151684,80,469,True,length
153,14.295,14.296100580999337,1.6667696960012108,ok,0.06426346400076,0.02028459379747617,0.0278741660004016,80,305,True,length
154,14.357,14.358306692000042,1.6631480690011813,ok,0.06526964600016072,0.02022598131646456,0.028278337998926872,80,418,True,length
155,14.389,14.390035730999443,1.6489254669995717,ok,0.04931628700069268,0.020247911101250793,0.02800141499938036,80,504,True,length
156,14.528,14.528596549998838,1.6607644249997975,ok,0.05745810600092227,0.020294653430373497,0.027924988000449957,80,402,True,length
157,14.575,14.575801942999533,1.6555033959994034,ok,0.058060178000232554,0.020220517341760016,0.02800161699997261,80,426,True,length
158,14.59,14.590750456998649,1.6592822990005516,ok,0.06010459100070875,0.02024248263292008,0.027998032001050888,80,443,True,length
159,14.637,14.637347975998637,1.6551339000016014,ok,0.06165266500102007,0.020170323493667763,0.027858139999807463,80,589,True,length
160,14.653,14.653234894998604,1.6643682800004171,ok,0.06136128599973745,0.020290839316450867,0.028003735998936463,80,415,True,length
161,14.715,14.715203652000127,1.66049285400004,ok,0.060473465999166365,0.020253076151894225,0.027999982999972417,80,325,True,length
162,14.761,14.76196397899912,1.6517602790008823,ok,0.06121408500075631,0.020133207189856773,0.028001489999951445,80,376,True,length
163,14.777,14.777235415998803,1.6625829439999507,ok,0.06262047899872414,0.020252397898730123,0.027856255999722634,80,395,True,length
164,14.823,14.823738003999097,1.661809789000472,ok,0.05510669599971152,0.02033766360760131,0.02785575300003984,80,327,True,length
165,14.854,14.855078489999869,1.6680646530003287,ok,0.07169415799944545,0.020206892354427866,0.0279999169997609,80,431,True,length
166,14.87,14.870467845999883,1.6722804679993715,ok,0.08285366499876545,0.020119153405083794,0.02785617299923615,80,505,True,length
167,14.886,14.886231712000153,1.6564209330008453,ok,0.06700676600121369,0.020118861797458566,0.027861784999913652,80,422,True,length
168,14.901,14.901252661999024,1.6587543189998541,ok,0.07131416799893486,0.0200938785949376,0.02799696399961249,80,404,True,length
169,14.917,14.91786783399948,1.6682211919996917,ok,0.07212158400034241,0.020203528379734284,0.027882013000635197,80,418,True,length
170,15.0,15.000319893999404,1.6701164650003193,ok,0.06829553799980204,0.02027589588606479,0.027855288000864675,80,348,True,length
171,15.072,15.07296544000019,1.66299669,ok,0.058024531999762985,0.02031571555696096,0.027653453000311856,80,423,True,length
