timestamp_s,prompt_length,max_new_tokens,second,index_in_second
76.630000,63,80,120,7
76.781000,46,80,120,8
77.126000,78,80,121,0
77.151000,102,80,121,1
77.227000,70,80,121,2
77.252000,52,80,121,3
77.278000,85,80,121,4
77.353000,124,80,121,5
77.429000,50,80,121,6
77.454000,53,80,121,7
77.479000,105,80,121,8
77.832000,78,80,121,9
77.857000,121,80,121,10
78.076000,124,80,122,0
78.151000,66,80,122,1
78.177000,42,80,122,2
78.202000,91,80,122,3
78.227000,72,80,122,4
78.252000,50,80,122,5
78.278000,107,80,122,6
78.379000,103,80,122,7
78.554000,119,80,122,8
78.579000,92,80,122,9
78.630000,103,80,122,10
78.680000,44,80,122,11
78.807000,88,80,122,12
78.832000,76,80,122,13
79.000000,21,80,123,0
79.050000,29,80,123,1
79.076000,33,80,123,2
79.101000,92,80,123,3
79.151000,103,80,123,4
79.202000,79,80,123,5
79.429000,19,80,123,6
79.529000,94,80,123,7
79.579000,108,80,123,8
79.630000,83,80,123,9
79.680000,41,80,123,10
79.706000,53,80,123,11
79.832000,101,80,123,12
80.151000,80,80,124,0
80.177000,128,80,124,1
80.202000,82,80,124,2
80.429000,90,80,124,3
80.554000,139,80,124,4
80.579000,74,80,124,5
80.680000,97,80,124,6
80.706000,79,80,124,7
80.731000,72,80,124,8
80.807000,94,80,124,9
81.126000,55,80,125,0
81.177000,62,80,125,1
81.227000,117,80,125,2
81.252000,74,80,125,3
81.404000,58,80,125,4
81.429000,18,80,125,5
81.554000,71,80,125,6
81.655000,74,80,125,7
81.706000,119,80,125,8
81.781000,79,80,125,9
81.807000,53,80,125,10
81.832000,105,80,125,11
